Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Buchnera aphidicola (Ceratovacuna keduensis) strain Cerke05 chromosome, complete genome",Buchnera aphidicola (Ceratovacuna keduensis),375,375,7%,7e-98,77.36,413541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134994.1?report=genbank&log$=nucltop&blast_rank=1&RID=UKWKFMTD014"",""CP134994.1"")"
"Endosymbiont of Sipalinus gigas DNA, complete genome, isolate: NARSGI1",endosymbiont of Sipalinus gigas,364,364,7%,2e-94,77.00,230546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP018162.1?report=genbank&log$=nucltop&blast_rank=2&RID=UKWKFMTD014"",""AP018162.1"")"
"MAG: Buchnera aphidicola (Ceratovacuna japonica) CjNOSY1 DNA, complete genome",Buchnera aphidicola (Ceratovacuna japonica),353,353,7%,3e-91,76.70,414725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP026065.1?report=genbank&log$=nucltop&blast_rank=3&RID=UKWKFMTD014"",""AP026065.1"")"
MAG: Candidatus Stammera capleta isolate JBPPEFJP chromosome,Candidatus Stammera capleta,351,351,7%,1e-90,77.03,291640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144790.1?report=genbank&log$=nucltop&blast_rank=4&RID=UKWKFMTD014"",""CP144790.1"")"
MAG: Candidatus Stammera capleta isolate JMMFINPP_1 chromosome,Candidatus Stammera capleta,350,350,5%,4e-90,78.53,245200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP145599.1?report=genbank&log$=nucltop&blast_rank=5&RID=UKWKFMTD014"",""CP145599.1"")"
"Candidatus Vidania fulgoroideorum isolate OFIL1 chromosome, complete genome",Candidatus Vidania fulgoroideorum,340,340,6%,3e-87,76.57,136076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110503.1?report=genbank&log$=nucltop&blast_rank=6&RID=UKWKFMTD014"",""CP110503.1"")"
"Candidatus Vidania fulgoroideorum isolate OFIL2 chromosome, complete genome",Candidatus Vidania fulgoroideorum,340,340,6%,3e-87,76.43,136065,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110502.1?report=genbank&log$=nucltop&blast_rank=7&RID=UKWKFMTD014"",""CP110502.1"")"
"Candidatus Portiera aleyrodidarum TV, complete genome",Candidatus Portiera aleyrodidarum TV,326,326,7%,7e-83,76.23,280663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP004358.1?report=genbank&log$=nucltop&blast_rank=8&RID=UKWKFMTD014"",""CP004358.1"")"
"Candidatus Portiera aleyrodidarum genome assembly TV-BCN.1, chromosome : I",Candidatus Portiera aleyrodidarum,326,326,7%,7e-83,76.23,280822,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN649236.1?report=genbank&log$=nucltop&blast_rank=9&RID=UKWKFMTD014"",""LN649236.1"")"
MAG: Candidatus Zinderia insecticola isolate Lepcoel-Z chromosome,Candidatus Zinderia insecticola,322,322,7%,9e-82,76.12,217161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP199868.1?report=genbank&log$=nucltop&blast_rank=10&RID=UKWKFMTD014"",""CP199868.1"")"
